SMPVR Participant ID = 03 Gender = W Age = 23 Speed = 0.5 LogFrequency = 0.025
Current Order of Blocks 10 20 3 10 20 5 10 20 1 10 20 4 10 20 6 10 20 7 10 20 2 10 20 8 10
blockLog,WalkDirectionForwardLog,forwardEyeLog,forwardEyeColorLog,TimeStampLog,leftButtonLog,rightButtonLog,cameraX,cameraY,cameraZ
Interim,0,0,0,15.52.10.876,0,0,357.5314,3.201616,352.4577
Interim,0,0,0,15.52.11.412,0,0,357.4525,3.189458,352.5683
Interim,0,0,0,15.52.11.416,0,0,357.4525,3.189458,352.5683
Interim,0,0,0,15.52.11.420,0,0,357.4525,3.189458,352.5683
Interim,0,0,0,15.52.11.422,0,0,357.4525,3.189458,352.5683
Interim,0,0,0,15.52.11.426,0,0,357.4525,3.189458,352.5683
Interim,0,0,0,15.52.11.429,0,0,357.4525,3.189458,352.5683
Interim,0,0,0,15.52.11.435,0,0,357.4525,3.189458,352.5683
Interim,0,0,0,15.52.11.439,0,0,357.4525,3.189458,352.5683
Interim,0,0,0,15.52.11.442,0,0,357.4525,3.189458,352.5683
Interim,0,0,0,15.52.11.446,0,0,357.4525,3.189458,352.5683
Interim,0,0,0,15.52.11.450,0,0,357.4525,3.189458,352.5683
Interim,0,0,0,15.52.11.454,0,0,357.4525,3.189458,352.5683
Interim,0,0,0,15.52.11.457,0,0,357.4525,3.189458,352.5683
Interim,0,0,0,15.52.11.461,0,0,357.4525,3.189458,352.5683
Interim,0,0,0,15.52.11.497,0,0,0.5950044,3.597842,356.2173
Interim,0,0,0,15.52.11.504,0,0,0.5950044,3.597842,356.2173
Interim,0,0,0,15.52.11.509,0,0,0.5950044,3.597842,356.2173
Interim,0,0,0,15.52.11.524,0,0,0.5903169,3.910735,356.0517
Interim,0,0,0,15.52.11.534,0,0,0.8057347,3.76907,356.0224
Interim,0,0,0,15.52.11.562,0,0,0.8790262,3.699232,355.961
Interim,0,0,0,15.52.11.587,0,0,0.8518449,3.678577,355.9404
Interim,0,0,0,15.52.11.617,0,0,0.7685057,3.666152,355.9615
Interim,0,0,0,15.52.11.639,0,0,0.7536899,3.676155,355.924
Interim,0,0,0,15.52.11.661,0,0,0.7345548,3.681362,355.9057
Interim,0,0,0,15.52.11.683,0,0,0.6970708,3.698148,355.9032
Interim,0,0,0,15.52.11.717,0,0,0.6531736,3.665683,355.8894
Interim,0,0,0,15.52.11.737,0,0,0.6503665,3.651098,355.889
Interim,0,0,0,15.52.11.761,0,0,0.6749694,3.581796,355.8714
Interim,0,0,0,15.52.11.784,0,0,0.6905942,3.534724,355.8502
Interim,0,0,0,15.52.11.818,0,0,0.7273471,3.460353,355.918
