SMPVR Participant ID = 27 Gender = W Age = 20 Speed = 0.5 LogFrequency = 0.025
Current Order of Blocks 10 20 1 10 20 2 10 20 7 10 20 3 10 20 5 10 20 8 10 20 6 10 20 4 10
blockLog,WalkDirectionForwardLog,forwardEyeLog,forwardEyeColorLog,TimeStampLog,leftButtonLog,rightButtonLog,cameraX,cameraY,cameraZ
Interim,0,0,0,12.54.20.376,0,0,312.8595,3.858993,0.9029843
Interim,0,0,0,12.54.20.862,0,0,312.7921,3.893126,0.8942063
Interim,0,0,0,12.54.20.863,0,0,312.7921,3.893126,0.8942063
Interim,0,0,0,12.54.20.863,0,0,312.7921,3.893126,0.8942063
Interim,0,0,0,12.54.20.864,0,0,312.7921,3.893126,0.8942063
Interim,0,0,0,12.54.20.865,0,0,312.7921,3.893126,0.8942063
Interim,0,0,0,12.54.20.866,0,0,312.7921,3.893126,0.8942063
Interim,0,0,0,12.54.20.867,0,0,312.7921,3.893126,0.8942063
Interim,0,0,0,12.54.20.867,0,0,312.7921,3.893126,0.8942063
Interim,0,0,0,12.54.20.868,0,0,312.7921,3.893126,0.8942063
Interim,0,0,0,12.54.20.868,0,0,312.7921,3.893126,0.8942063
Interim,0,0,0,12.54.20.869,0,0,312.7921,3.893126,0.8942063
Interim,0,0,0,12.54.20.869,0,0,312.7921,3.893126,0.8942063
Interim,0,0,0,12.54.20.870,0,0,312.7921,3.893126,0.8942063
Interim,0,0,0,12.54.20.871,0,0,312.7921,3.893126,0.8942063
Interim,0,0,0,12.54.20.904,0,0,350.4566,350.8124,2.965453
Interim,0,0,0,12.54.20.905,0,0,350.4566,350.8124,2.965453
Interim,0,0,0,12.54.20.929,0,0,2.296434,3.647707,1.094023
Interim,0,0,0,12.54.20.962,0,0,2.644019,3.716708,1.019049
Interim,0,0,0,12.54.20.983,0,0,2.669364,3.675564,0.9169698
Interim,0,0,0,12.54.21.007,0,0,2.603501,3.600157,0.9252552
Interim,0,0,0,12.54.21.031,0,0,2.486785,3.564297,0.9941649
Interim,0,0,0,12.54.21.051,0,0,2.426368,3.53504,1.089804
Interim,0,0,0,12.54.21.085,0,0,2.462521,3.379783,1.161963
Interim,0,0,0,12.54.21.106,0,0,2.597461,3.253052,1.006933
Interim,0,0,0,12.54.21.129,0,0,2.715458,3.088054,0.726165
Interim,0,0,0,12.54.21.151,0,0,2.692416,2.83475,0.4799262
Interim,0,0,0,12.54.21.182,0,0,2.56144,2.53475,0.2834204
Interim,0,0,0,12.54.21.207,0,0,2.326726,2.150949,0.00319205
Interim,0,0,0,12.54.21.230,0,0,2.166443,1.963588,359.9382
Interim,0,0,0,12.54.21.252,0,0,2.054617,1.759691,0.01220791
Interim,0,0,0,12.54.21.286,0,0,2.087809,1.418308,0.1543496
Interim,0,0,0,12.54.21.308,0,0,2.102518,1.180884,0.1782139
Interim,0,0,0,12.54.21.338,0,0,2.149479,0.954697,0.04465475
Interim,0,0,0,12.54.21.353,0,0,2.275455,0.7089856,359.8504
Interim,0,0,0,12.54.21.385,0,0,2.258583,0.3444975,359.7725
Interim,0,0,0,12.54.21.408,0,0,2.060784,0.1187685,359.7377
Interim,0,0,0,12.54.21.431,0,0,1.731058,359.9196,359.7675
Interim,0,0,0,12.54.21.453,0,0,1.374169,359.7265,359.7843
Interim,0,0,0,12.54.21.494,0,0,0.7274763,359.3927,359.762
Interim,0,0,0,12.54.21.501,0,0,0.5071012,359.3143,359.748
Interim,0,0,0,12.54.21.532,0,0,359.6855,358.9803,359.7765
Interim,0,0,0,12.54.21.554,0,0,359.0976,358.7206,359.8293
Interim,0,0,0,12.54.21.576,0,0,358.542,358.4644,359.8434
Interim,0,0,0,12.54.21.609,0,0,357.6387,358.1103,359.8828
Interim,0,0,0,12.54.21.635,0,0,357.0561,357.892,0.02329567
Interim,0,0,0,12.54.21.654,0,0,356.7959,357.7983,0.1054823
Interim,0,0,0,12.54.21.680,0,0,356.0373,357.5652,0.2129134
Interim,0,0,0,12.54.21.703,0,0,355.5688,357.5113,0.234665
Interim,0,0,0,12.54.21.735,0,0,355.1231,357.5723,0.1709711
Interim,0,0,0,12.54.21.757,0,0,354.8781,357.7028,0.1742124
Interim,0,0,0,12.54.21.780,0,0,354.6017,357.8676,0.1850198
Interim,0,0,0,12.54.21.810,0,0,354.2512,358.0919,0.1891344
Interim,0,0,0,12.54.21.841,0,0,353.7657,358.515,0.1725053
Interim,0,0,0,12.54.21.856,0,0,353.3972,358.821,0.1488167
Interim,0,0,0,12.54.21.879,0,0,352.9088,359.1371,0.1336176
Interim,0,0,0,12.54.21.901,0,0,352.4189,359.4395,0.04536831
Interim,0,0,0,12.54.21.935,0,0,351.7876,359.8324,359.7893
Interim,0,0,0,12.54.21.965,0,0,351.4768,0.02239846,359.7003
Interim,0,0,0,12.54.21.979,0,0,351.2755,0.1551923,359.6721
Interim,0,0,0,12.54.22.002,0,0,351.2853,0.2597711,359.6618
Interim,0,0,0,12.54.22.035,0,0,351.1529,0.4356751,359.4837
Interim,0,0,0,12.54.22.058,0,0,351.1168,0.5734715,359.3346
Interim,0,0,0,12.54.22.080,0,0,351.1265,0.7405894,359.2825
Interim,0,0,0,12.54.22.103,0,0,351.1454,0.8633564,359.3925
Interim,0,0,0,12.54.22.127,0,0,351.2684,0.8977215,359.6848
Interim,0,0,0,12.54.22.158,0,0,351.6026,0.8761291,0.1211319
Interim,0,0,0,12.54.22.180,0,0,351.6505,0.8113359,0.2097166
Interim,0,0,0,12.54.22.203,0,0,351.5952,0.6846563,0.2642342
Interim,0,0,0,12.54.22.227,0,0,351.5124,0.5317189,0.3293072
Interim,0,0,0,12.54.22.260,0,0,351.3938,0.3035428,0.2528616
Interim,0,0,0,12.54.22.278,0,0,351.2884,0.2393396,0.2241652
Interim,0,0,0,12.54.22.305,0,0,350.6484,0.08044858,0.1518876
Interim,0,0,0,12.54.22.327,0,0,350.3177,0.03474291,0.1656393
Interim,0,0,0,12.54.22.361,0,0,349.9797,0.03159258,0.220453
Interim,0,0,0,12.54.22.383,0,0,349.887,0.02951004,0.3662585
Interim,0,0,0,12.54.22.406,0,0,349.9287,0.01760274,0.5162286
Interim,0,0,0,12.54.22.436,0,0,350.0928,-0.005151975,0.6930718
Interim,0,0,0,12.54.22.450,0,0,350.3116,359.9848,0.7933994
Interim,0,0,0,12.54.22.483,0,0,350.5871,359.9731,0.8847362
Interim,0,0,0,12.54.22.505,0,0,350.8614,359.9712,0.8661049
Interim,0,0,0,12.54.22.528,0,0,351.1787,359.9926,0.7698418
Interim,0,0,0,12.54.22.551,0,0,351.4892,0.03659534,0.7048378
Interim,0,0,0,12.54.22.592,0,0,351.8424,0.1890596,0.4405352
Interim,0,0,0,12.54.22.606,0,0,352.0467,0.3488793,0.2718436
Interim,0,0,0,12.54.22.629,0,0,352.1598,0.5007848,0.2381516
Interim,0,0,0,12.54.22.651,0,0,352.1786,0.645777,0.2109716
Interim,0,0,0,12.54.22.684,0,0,352.1461,0.789856,0.1256999
Interim,0,0,0,12.54.22.707,0,0,352.1154,0.8337722,0.09632838
Interim,0,0,0,12.54.22.730,0,0,352.0499,0.8557745,0.04878508
Interim,0,0,0,12.54.22.754,0,0,351.9521,0.8869966,359.9592
Interim,0,0,0,12.54.22.784,0,0,351.7787,0.8896632,359.8464
Interim,0,0,0,12.54.22.807,0,0,351.6972,0.8517526,359.8275
Interim,0,0,0,12.54.22.829,0,0,351.6243,0.7589759,359.8178
Interim,0,0,0,12.54.22.852,0,0,351.5341,0.6372859,359.7747
Interim,0,0,0,12.54.22.885,0,0,351.4092,0.4225634,359.7263
